#
# list of standard remote key names
# custom names like XXXX_KEY
# second value is used for UI (tranlations)
#
KEY_0                    0
KEY_102ND                102ND
KEY_1                    1
KEY_2                    2
KEY_3                    3
KEY_4                    4
KEY_5                    5
KEY_6                    6
KEY_7                    7
KEY_8                    8
KEY_9                    9
KEY_A                    A
KEY_AB                   AB
KEY_ADDRESSBOOK          ADDRESSBOOK
KEY_AGAIN                AGAIN
KEY_ALTERASE             ALTERASE
KEY_ANGLE                ANGLE
KEY_APOSTROPHE           APOSTROPHE
KEY_ARCHIVE              ARCHIVE
KEY_AUDIO                AUDIO
KEY_AUX                  AUX
KEY_B                    B
KEY_BACK                 BACK
KEY_BACKSLASH            BACKSLASH
KEY_BACKSPACE            BACKSPACE
KEY_BASSBOOST            BASSBOOST
KEY_BATTERY              BATTERY
KEY_BLUE                 BLUE
KEY_BLUETOOTH            BLUETOOTH
KEY_BOOKMARKS            BOOKMARKS
KEY_BREAK                BREAK
KEY_BRIGHTNESS_CYCLE     BRIGHTNESS_CYCLE
KEY_BRIGHTNESSDOWN       BRIGHTNESSDOWN
KEY_BRIGHTNESSUP         BRIGHTNESSUP
KEY_BRIGHTNESS_ZERO      BRIGHTNESS_ZERO
KEY_BRL_DOT10            BRL_DOT10
KEY_BRL_DOT1             BRL_DOT1
KEY_BRL_DOT2             BRL_DOT2
KEY_BRL_DOT3             BRL_DOT3
KEY_BRL_DOT4             BRL_DOT4
KEY_BRL_DOT5             BRL_DOT5
KEY_BRL_DOT6             BRL_DOT6
KEY_BRL_DOT7             BRL_DOT7
KEY_BRL_DOT8             BRL_DOT8
KEY_BRL_DOT9             BRL_DOT9
KEY_C                    C
KEY_CALC                 CALC
KEY_CALENDAR             CALENDAR
KEY_CAMERA               CAMERA
KEY_CANCEL               CANCEL
KEY_CAPSLOCK             CAPSLOCK
KEY_CD                   CD
KEY_CHANNEL              CHANNEL
KEY_CHANNELDOWN          CHANNELDOWN
KEY_CHANNELUP            CHANNELUP
KEY_CHAT                 CHAT
KEY_CLEAR                CLEAR
KEY_CLOSE                CLOSE
KEY_CLOSECD              CLOSECD
KEY_COFFEE               COFFEE
KEY_COMMA                COMMA
KEY_COMPOSE              COMPOSE
KEY_COMPUTER             COMPUTER
KEY_CONFIG               CONFIG
KEY_CONNECT              CONNECT
KEY_CONTEXT_MENU         CONTEXT_MENU
KEY_COPY                 COPY
KEY_CUT                  CUT
KEY_CYCLEWINDOWS         CYCLEWINDOWS
KEY_D                    D
KEY_DASHBOARD            DASHBOARD
KEY_DATABASE             DATABASE
KEY_DEL_EOL              DEL_EOL
KEY_DEL_EOS              DEL_EOS
KEY_DELETE               DELETE
KEY_DELETEFILE           DELETEFILE
KEY_DEL_LINE             DEL_LINE
KEY_DIGITS               DIGITS
KEY_DIRECTION            DIRECTION
KEY_DIRECTORY            DIRECTORY
KEY_DISPLAY_OFF          DISPLAY_OFF
KEY_DISPLAYTOGGLE        DISPLAYTOGGLE
KEY_DOCUMENTS            DOCUMENTS
KEY_DOLLAR               DOLLAR
KEY_DOT                  DOT
KEY_DOWN                 DOWN
KEY_DVD                  DVD
KEY_E                    E
KEY_EDIT                 EDIT
KEY_EDITOR               EDITOR
KEY_EJECTCD              EJECTCD
KEY_EJECTCLOSECD         EJECTCLOSECD
KEY_EMAIL                EMAIL
KEY_END                  END
KEY_ENTER                ENTER
KEY_EPG                  EPG
KEY_EQUAL                EQUAL
KEY_ESC                  ESC
KEY_EURO                 EURO
KEY_EXIT                 EXIT
KEY_F10                  F10
KEY_F11                  F11
KEY_F12                  F12
